GENE_SYMBOLS,refseq_ids
DIPK1C,NM_001044369
C1orf61,NA
PAMR1,NM_001001991
CD59,NM_000611
PIPOX,NM_016518
SLC4A8,NM_001039960
EPM2A,NM_001018041
STARD4-AS1,NR_040093
GINS3,NM_001126129
FGFR3,NM_000142
UFL1-AS1,XR_001744265
SLC9B1,NM_001100874
CYP4A22-AS1,NA
ZFHX2-AS1,NA
IRS2,NM_003749
CCDC196,NM_001004331
MMD2,NM_001100600
STRIP2,NM_001134336
AZIN1-AS1,NA
NEDD4,NM_001284338
MEF2C-AS2,NR_146284
FAM167A,NM_053279
ADHFE1,NM_144650
RASL10A,NM_001007279
PAQR6,NM_001272104
ZNF337-AS1,NR_126465
TRIM66,NM_001388022
LRRC7,NM_001330635
MROH7,NM_001039464
IFT27,NM_001177701
CCDC192,NM_001317938
SCN11A,NM_001287223
AF274853.1,NA
NEK5,NM_001365552
C12orf42,NM_001099336
SHANK2,NM_001379226
CIRBP,NM_001280
RCN1,NM_002901
ERI2,NM_001142725
IGFN1,NM_001164586
GSTP1,NM_000852
TSPO,NM_000714
ST6GAL2,NM_001142351
TRIB1,NM_001282985
NT5E,NM_001204813
ID2-AS1,NR_110153
SELENOM,NM_080430
IRF2BPL,NM_024496
RPL9,NM_000661
USP3-AS1,NR_034080
CCDC102B,NM_001093729
GNPTAB,NM_024312
RBP1,NM_001130992
CD81,NM_001297649
FSIP2,NM_173651
C2orf72,NM_001144994
NXPH3,NM_007225
TMEM266,NM_152335
CATSPERE,NM_001130957
KLF6,NM_001008490
SPI1,NM_001080547
ITIH4,NM_001166449
PAH,NM_000277
SEC24B-AS1,NR_039978
ARSF,NM_001201538
UBALD2,NM_182565
MOGAT1,NM_058165
PLA2G5,NM_000929
FAM167A-AS1,NM_054017
PSG8,NM_001130167
LFNG,NM_001040167
SLC9A7,NM_001257291
OTX1,NM_001199770
ERVMER61-1,NM_001012274
PTCHD1,NM_173495
S100A1,NM_006271
HAAO,NM_012205
RPS27A,NM_001135592
BRINP2,NM_021165
CST3,NM_000099
RBP2,NM_004164
RHOC,NM_001042678
ENPP3,NM_005021
ERBIN,NM_001006600
