GENE_SYMBOLS,refseq_ids
TPRG1L,NM_182752
BCAP31,NM_001139441
THY1,NM_001311160
ATP6AP1,NM_001183
LY6E,NM_001127213
SHISA4,NM_198149
TGOLN2,NM_001206840
UBL4A,NM_014235
SULT4A1,NM_014351
RAB1B,NM_030981
AP2M1,NM_001025205
SPRYD3,NM_032840
TUSC2,NM_007275
C1orf216,NM_001348691
PGAM1,NM_001317079
TMEM203,NM_053045
SNX17,NM_001267059
FAM89B,NM_001098784
CD59,NM_000611
ETV5,NM_004454
RETREG2,NM_001321109
DCTN1,NM_001135040
B4GAT1,NM_006876
PEF1,NM_001359651
PDXP,NM_020315
DHCR24,NM_014762
OTUB1,NM_017670
LAMTOR1,NM_017907
YWHAH,NM_003405
PKM,NM_001206796
RNF5,NM_006913
GRINA,NM_000837
RTL6,NM_032287
PSAP,NM_001042465
RAN,NM_001300796
ATP6V0E2,NM_001100592
ATP6V1B2,NM_001693
EIF1,NM_005801
SNN,NM_003498
MOAP1,NM_022151
SARAF,NM_001284239
PITHD1,NM_020362
NSG1,NM_001040101
PRAF2,NM_007213
TOMM22,NM_020243
PNMA1,NM_006029
PNMA8A,NM_001103149
HMGA1,NM_001319077
PHF23,NM_001284517
ENO2,NM_001975
COPS7A,NM_001164093
MTCH1,NM_001271641
WBP2,NM_001330499
COA3,NM_001040431
SCN2B,NM_004588
ATP6AP2,NM_005765
CALM3,NM_001329921
TBCC,NM_003192
MRFAP1,NM_001272053
CD81,NM_001297649
BORCS6,NM_017622
MRPL49,NM_004927
DIRAS1,NM_145173
PARD6A,NM_001037281
CCDC106,NM_001370467
BRK1,NM_018462
DEXI,NM_014015
SUPT4H1,NM_003168
IMP4,NM_001320304
LGI3,NM_139278
NAT8L,NM_178557
ANKRD34A,NM_001039888
CCDC85B,NM_006848
RNF26,NM_032015
VDAC1,NM_001401008
CREB3,NM_006368
RAB3A,NM_002866
ATP6V0C,NM_001198569
GLRX5,NM_016417
ZMAT2,NM_144723
MYADM,NM_001020818
ITM2C,NM_001012514
DYNLL2,NM_080677
GABARAPL1,NM_001363598
TPI1,NM_000365
ADO,NM_032804
ENC1,NM_001256574
NR2F6,NM_005234
POLE3,NM_001278255
STOML2,NM_001287031
RRAGA,NM_006570
SEPHS2,NM_012248
PER2,NM_003894
OAZ1,NM_001301020
RSL24D1,NM_016304
SPRY4-AS1,NR_120664
PNMA8B,NM_020709
GET3,NM_001371488
PNMA8C,NM_001386793
MAGEF1,NM_022149
SELENOW,NM_003009
JPT1,NM_001002032
MRPS17,NM_015969
PSPN,NM_004158
PHYHIP,NM_001099335
LAMTOR5,NM_001382293
PEG13,NR_144431
MFSD5,NM_001170790
SNAPC5,NM_001329613
ARHGDIA,NM_001185077
ENO1,NM_001201483
DNAJB9,NM_012328
FEN1,NM_004111
NEFL,NM_006158
MZT1,NM_001071775
FAM174C,NM_017914
TAF13,NM_005645
TOMM20,NM_014765
ACTG1,NM_001199954
MEPCE,NM_001194990
SSTR3,NM_001051
NUDT15,NM_001304745
EIF4G2,NM_001042559
CSTB,NM_000100
FKBP1B,NM_001322963
SET,NM_001122821
SNRNP25,NM_024571
AP1S1,NM_001283
TOMM6,NM_001134493
SKP1,NM_006930
CDKN2D,NM_001800
C11orf68,NM_001135635
NGRN,NM_001033088
KCNJ11,NM_000525
NORAD,NR_027451
CYCS,NM_018947
SLC25A6,NM_001636
ZBTB22,NM_001145338
SPRED3,NM_001039616
HAPLN4,NM_023002
ATP6V1G2,NM_001204078
PELI3,NM_001098510
UBE2M,NM_003969
GHITM,NM_014394
TMEM35A,NM_021637
DBNDD2,NM_001048221
PFN2,NM_002628
ATP6V1E1,NM_001039366
SERINC1,NM_020755
STUB1,NM_001293197
C14orf119,NM_017924
ARL6IP5,NM_006407
PRKAR1A,NM_001276289
MLLT11,NM_006818
SPRY4,NM_001127496
NRN1,NM_001278710
GABARAP,NM_007278
BEX4,NM_001080425
CCDC115,NM_001321118
SRP9,NM_001130440
RGS4,NM_001102445
PINK1,NM_032409
PGK1,NM_000291
CALM2,NM_001305624
H2AFX,NA
TMA7,NM_001329417
C3orf80,NM_001168214
SRXN1,NM_080725
PPIF,NM_005729
C20orf27,NA
POLR3K,NM_016310
CNIH2,NM_182553
MRPS12,NM_021107
UQCC3,NM_001085372
IRF2BP1,NM_015649
SLC25A4,NM_001151
EIF1B,NM_005875
TUSC1,NM_001004125
ARF6,NM_001663
SAC3D1,NM_001367485
RNASEK,NM_001004333
FAM32A,NM_014077
ISCU,NM_001301140
TCEAL7,NM_001348258
LSM4,NM_001252129
TRIAP1,NM_016399
RAB5IF,NM_001199534
SELENOM,NM_080430
AAMP,NM_001087
RNF187,NM_001010858
ATG101,NM_001098673
NAP1L5,NM_153757
BAD,NM_004322
TINF2,NM_001099274
DDN,NM_015086
CEND1,NM_016564
FNDC4,NM_022823
COMMD8,NM_001329668
MAGEH1,NM_014061
POLR2K,NM_005034
RPL15,NM_001253379
INTS5,NM_030628
CTXN1,NM_206833
SPRED2,NM_001128210
TMEM54,NM_001329722
LDHA,NM_001135239
PYURF,NM_032906
UQCRH,NM_001297565
ATXN7L3B,NM_001136262
PRR13,NM_001005354
CALR,NM_004343
WDR83OS,NM_016145
MAF1,NM_032272
YWHAG,NM_012479
EIF4A2,NM_001967
SNU13,NM_001003796
STK16,NM_001008910
IGFBP6,NM_002178
GPX4,NM_001039847
RPS2,NM_002952
MCHR1,NM_005297
FKBP4,NM_002014
PELO,NM_015946
TMEM141,NM_032928
HIGD1A,NM_001099668
YPEL3,NM_001145524
SMKR1,NM_001195243
MAPK3,NM_001040056
BHLHE41,NM_030762
CTSD,NM_001909
MIEN1,NM_001330206
CFL2,NM_001243645
PRELID1,NM_001271828
ARHGDIG,NM_001176
SLC25A5,NM_001152
TMEM160,NM_017854
GNG3,NM_012202
SERF2,NM_001018108
PRPS1,NM_001204402
FJX1,NM_014344
AIP,NM_001302959
ARL2,NM_001199745
POP7,NM_005837
UBE2S,NM_014501
FTH1,NM_002032
CALM1,NM_001166106
BAG1,NM_001172415
ALYREF,NM_005782
MDH2,NM_001282403
HEIH,NR_045680
PSMD8,NM_002812
ATP6V1F,NM_001198909
KTI12,NM_138417
IMP3,NM_018285
SLC25A11,NM_001165417
TMSB4X,NM_021109
MRPL17,NM_022061
H2AFZ,NA
RRS1,NM_015169
DCTPP1,NM_024096
NHP2,NM_001034833
SALL2,NM_001291446
C9orf16,NA
TCEAL8,NM_001006684
RNF6,NM_005977
SPATA2L,NM_152339
LSM10,NM_032881
CHCHD2,NM_001320327
C16orf91,NA
YWHAB,NM_003404
KCNF1,NM_002236
GCHFR,NM_005258
POLR2I,NM_006233
TOMM5,NM_001001790
ALDH1B1,NM_000692
DYNLT3,NM_006520
SUMO3,NM_001286416
CCDC184,NM_001013635
EIF1AX,NM_001412
PNMA2,NM_007257
RPS28,NM_001031
MAT2B,NM_013283
RPS19BP1,NM_194326
EEF1G,NM_001404
SCOC,NM_001153446
NPM3,NM_006993
UBA52,NM_001033930
ALDOC,NM_005165
HDDC3,NM_001286451
ARPP19,NM_001306191
FAM50B,NM_012135
TIMM13,NM_012458
CHGB,NM_001819
PDE10A,NM_001130690
SELENOH,NM_001321335
MRPS34,NM_001300900
