GENE_SYMBOLS,refseq_ids
COX7A1,NM_001864
TMEM141,NM_032928
SELENOH,NM_001321335
BRK1,NM_018462
ATOX1,NM_004045
TOMM6,NM_001134493
NUDT1,NM_001367553
POLR2K,NM_005034
BAG1,NM_001172415
RSL24D1,NM_016304
C19orf53,NM_014047
SDHAF1,NM_001042631
POLR2I,NM_006233
TMEM160,NM_017854
SELENOW,NM_003009
DDT,NM_001084392
RPS19BP1,NM_194326
LAGE3,NM_006014
TMA7,NM_001329417
LAMTOR5,NM_001382293
TMSB10,NM_021103
LSM3,NM_014463
RPL29,NM_000992
COX7A2,NM_001366292
CHCHD2,NM_001320327
FAU,NM_001997
RPL41,NM_001035267
SNAPC5,NM_001329613
CENPX,NM_001271006
MRPS12,NM_021107
UQCR10,NM_001003684
SELENOM,NM_080430
ATP5MPL,NA
SNRNP25,NM_024571
COX17,NM_001382002
NDUFA6,NM_002490
RNF5,NM_006913
UQCRH,NM_001297565
TMSB4X,NM_021109
COX14,NM_001257133
ATP5IF1,NM_016311
SERTAD4-AS1,NR_024337
COPS9,NM_001163424
NDUFS6,NM_004553
UQCRQ,NM_014402
MRPS24,NM_032014
RPLP2,NM_001004
TRIAP1,NM_016399
COA3,NM_001040431
ATP5F1E,NM_006886
CHCHD10,NM_001301339
BEX4,NM_001080425
ATP5MF,NM_001003713
LAMTOR2,NM_001145264
UQCRB,NM_001199975
GCHFR,NM_005258
CTXN2,NM_001145668
RPL18A,NM_000980
NCBP2AS2,NM_001355243
C9orf16,NA
FAM174C,NM_017914
UBXN10-AS1,NA
MTLN,NM_001355251
SPCS1,NM_014041
MRFAP1,NM_001272053
RPS14,NM_001025070
COX6C,NM_004374
RPS13,NM_001017
TIMM10,NM_012456
ANAPC15,NM_001278485
SERF2,NM_001018108
RILP,NM_031430
EIF1,NM_005801
UQCR11,NM_006830
TGFBR3L,NM_001195259
UBL5,NM_001048241
LSM4,NM_001252129
RPL36A,NM_001199972
RPL39,NM_001000
NDUFB2,NM_004546
NRN1,NM_001278710
TCEAL7,NM_001348258
COX4I1,NM_001318786
HINT2,NM_032593
OST4,NM_001134693
NHP2,NM_001034833
MZT2B,NM_001330282
CYCS,NM_018947
TOMM5,NM_001001790
RPL12,NM_000976
UQCC3,NM_001085372
ISCA2,NM_001272007
MESP1,NM_018670
RPS28,NM_001031
SMIM26,NM_001348957
DBNDD2,NM_001048221
TCEAL8,NM_001006684
TCEAL5,NM_001012979
COX8A,NM_004074
IFI27L2,NM_032036
RPS15A,NM_001019
SET,NM_001122821
NDUFA13,NM_015965
H2AFZ,NA
SEC61G,NM_001012456
RPL35,NM_007209
ATP5MD,NA
PSMB10,NM_002801
S100A6,NM_014624
MRPL51,NM_016497
RPS21,NM_001024
WDR64,NM_001367482
C12orf57,NM_001301834
TMEM203,NM_053045
HEIH,NR_045680
RPS2,NM_002952
