"",matched_features
Lysine degradation,cpd:C00956; cpd:C00408; cpd:C01181; hsa:1738; hsa:1892; hsa:123688; hsa:10919; hsa:29072; hsa:387893; hsa:4297; hsa:54904; hsa:55904; hsa:58508; hsa:64324; hsa:64754; hsa:6839; hsa:7468; hsa:79813; hsa:83852; hsa:93166; hsa:9739; hsa:79823; hsa:219; hsa:5352; hsa:23127
Glutathione metabolism,cpd:C00006; cpd:C00025; cpd:C00134; hsa:51056; hsa:2878; hsa:2882; hsa:2879; hsa:51060; hsa:2539; hsa:3418; hsa:2937; hsa:79017; hsa:2941; hsa:2948; hsa:2950; hsa:4259; hsa:9446; hsa:4953; hsa:6723; hsa:6611; hsa:50484; hsa:6241
Glycolysis or Gluconeogenesis,hsa:219; hsa:10327; hsa:128; hsa:5160; hsa:5162; hsa:3939; hsa:3945; hsa:5315; hsa:2026; hsa:5223; hsa:669; hsa:2597; hsa:7167; hsa:226; hsa:5213; hsa:5214; hsa:2645; hsa:1738; hsa:5230; hsa:55902
Purine metabolism,hsa:50484; hsa:6241; hsa:5631; hsa:5634; hsa:221264; hsa:29922; hsa:4830; hsa:4831; hsa:205; hsa:26289; hsa:4907; hsa:353; hsa:124583; hsa:955; hsa:9583; hsa:131870; hsa:2766; hsa:51292; hsa:3615; hsa:3251; hsa:2987; hsa:9615; hsa:374659; hsa:107; hsa:111; hsa:113; hsa:115; hsa:10846; hsa:50940; hsa:5136; hsa:5137; hsa:5148; hsa:5149; hsa:5153; hsa:9060; hsa:9061; hsa:5198; hsa:3704; hsa:318; hsa:1633; hsa:1716; hsa:53343; hsa:5169
Arginine and proline metabolism,cpd:C00581; cpd:C00300; cpd:C00134; cpd:C02714; cpd:C00025; cpd:C00884; cpd:C02946; hsa:2593; hsa:1152; hsa:4953; hsa:6723; hsa:6611; hsa:219; hsa:55748; hsa:4942; hsa:29920; hsa:5831; hsa:65263; hsa:5832; hsa:51056; hsa:2805; hsa:2806
Inositol phosphate metabolism,cpd:C00137; hsa:79837; hsa:8871; hsa:5728; hsa:27124; hsa:3707; hsa:8821; hsa:4534; hsa:55361; hsa:55613; hsa:8897; hsa:8898; hsa:51196; hsa:5332; hsa:5290; hsa:5291; hsa:5293; hsa:7167; hsa:10423; hsa:5287
Riboflavin metabolism,hsa:55312; hsa:80308; hsa:5169; hsa:52; hsa:53
N-Glycan biosynthesis,hsa:199857; hsa:54344; hsa:8818; hsa:79053; hsa:10195; hsa:4249; hsa:8703; hsa:84620; hsa:4122; hsa:4124; hsa:11320; hsa:23193; hsa:1603; hsa:1650; hsa:58505; hsa:746; hsa:29880; hsa:1798; hsa:79644; hsa:4121; hsa:207063
Glycerolipid metabolism,cpd:C00258; hsa:84649; hsa:8611; hsa:10554; hsa:56895; hsa:11343; hsa:26007; hsa:219; hsa:10327; hsa:1608; hsa:8527
Pyruvate metabolism,hsa:5160; hsa:5162; hsa:5315; hsa:2739; hsa:4190; hsa:4191; hsa:3939; hsa:3945; hsa:55902; hsa:219; hsa:31; hsa:1738; hsa:128; hsa:10327
Thiamine metabolism,hsa:9054; hsa:27010; hsa:205; hsa:26289; hsa:249; hsa:52
Drug metabolism - other enzymes,hsa:3251; hsa:3704; hsa:1806; hsa:7084; hsa:3615; hsa:8824; hsa:50484; hsa:6241; hsa:29922; hsa:4830; hsa:4831; hsa:51727; hsa:1854; hsa:2941; hsa:2948; hsa:2950; hsa:4259; hsa:9446
Fructose and mannose metabolism,hsa:6652; hsa:3795; hsa:57103; hsa:4351; hsa:5372; hsa:7264; hsa:5213; hsa:5214; hsa:7167; hsa:226; hsa:26007
Pyrimidine metabolism,hsa:50484; hsa:6241; hsa:221264; hsa:29922; hsa:4830; hsa:4831; hsa:129607; hsa:51727; hsa:1503; hsa:124583; hsa:955; hsa:9583; hsa:4907; hsa:1806; hsa:115024; hsa:79077; hsa:1633; hsa:1635; hsa:1854; hsa:7084; hsa:5169; hsa:8623; hsa:318
Mucin type O-glycan biosynthesis,hsa:256435; hsa:11226; hsa:168391; hsa:2589; hsa:374378; hsa:51809; hsa:57452; hsa:56913
Glycosaminoglycan biosynthesis - chondroitin sulfate or dermatan sulfate,hsa:22856; hsa:337876; hsa:79586; hsa:26229; hsa:11285; hsa:126792
Citrate cycle (TCA cycle),hsa:1738; hsa:55753; hsa:3418; hsa:3420; hsa:47; hsa:6391; hsa:6392; hsa:4190; hsa:4191; hsa:5160; hsa:5162
Nitrogen metabolism,cpd:C00025; hsa:768; hsa:771; hsa:1373
Cysteine and methionine metabolism,hsa:55256; hsa:6723; hsa:27430; hsa:191; hsa:1786; hsa:58478; hsa:113675; hsa:2805; hsa:2806; hsa:1036; hsa:3939; hsa:3945; hsa:6611; hsa:4190; hsa:4191; hsa:2937
Porphyrin metabolism,cpd:C00025; hsa:1355; hsa:211; hsa:2495; hsa:2512; hsa:3163; hsa:644; hsa:7389; hsa:7390; hsa:210; hsa:124454; hsa:3052
Propanoate metabolism,hsa:5095; hsa:55902; hsa:31; hsa:3939; hsa:3945; hsa:1892; hsa:1629; hsa:593; hsa:1738; hsa:51
Glycerophospholipid metabolism,cpd:C00350; cpd:C00157; cpd:C00670; cpd:C01233; hsa:5833; hsa:8605; hsa:1608; hsa:8527; hsa:8611; hsa:23646; hsa:10554; hsa:56895; hsa:10423; hsa:56261; hsa:10908; hsa:23659; hsa:79143
Nicotinate and nicotinamide metabolism,cpd:C00455; cpd:C03150; cpd:C00006; hsa:554235; hsa:5169; hsa:65220; hsa:23530; hsa:51548; hsa:4907
Pentose phosphate pathway,cpd:C00258; cpd:C02076; hsa:5631; hsa:5634; hsa:7086; hsa:226; hsa:5213; hsa:5214; hsa:25796; hsa:2539
Arginine biosynthesis,cpd:C00025; cpd:C00624; hsa:1373; hsa:2744; hsa:2805; hsa:2806
