"Query","Entrez","Symbol","Name","Comment"
"LRP8","7804","LRP8","LDL receptor related protein 8","1"
"ETV5","2119","ETV5","ETS variant transcription factor 5","1"
"ATP6AP1","537","ATP6AP1","ATPase H+ transporting accessory protein 1","1"
"CDIPT","10423","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","1"
"PSAP","5660","PSAP","prosaposin","1"
"MIEF1","54471","MIEF1","mitochondrial elongation factor 1","1"
"BCAP31","10134","BCAP31","B cell receptor associated protein 31","1"
"TMEM203","94107","TMEM203","transmembrane protein 203","1"
"TGOLN2","10618","TGOLN2","trans-golgi network protein 2","1"
"RETREG2","79137","RETREG2","reticulophagy regulator family member 2","1"
"FRMD6","122786","FRMD6","FERM domain containing 6","1"
"TMEM109","79073","TMEM109","transmembrane protein 109","1"
"MSANTD3","91283","MSANTD3","Myb/SANT DNA binding domain containing 3","1"
"TPRG1L","127262","TPRG1L","tumor protein p63 regulated 1 like","1"
"MARCH4","NA","NA","NA","0"
"TMEM246","NA","NA","NA","0"
"THY1","7070","THY1","Thy-1 cell surface antigen","1"
"HPCAL4","51440","HPCAL4","hippocalcin like 4","1"
"LRRC47","57470","LRRC47","leucine rich repeat containing 47","1"
"ATG9A","79065","ATG9A","autophagy related 9A","1"
"KBTBD11","9920","KBTBD11","kelch repeat and BTB domain containing 11","1"
"AP1S1","1174","AP1S1","adaptor related protein complex 1 subunit sigma 1","1"
"B4GAT1","11041","B4GAT1","""beta-1,4-glucuronyltransferase 1""","1"
"SLC8A3","6547","SLC8A3","solute carrier family 8 member A3","1"
"TUSC2","11334","TUSC2","""tumor suppressor 2, mitochondrial calcium regulator""","1"
"NEU1","4758","NEU1","neuraminidase 1","1"
"TMEM130","222865","TMEM130","transmembrane protein 130","1"
"SRRD","402055","SRRD","SRR1 domain containing","1"
"FAM32A","26017","FAM32A","family with sequence similarity 32 member A","1"
"ZPR1","8882","ZPR1","ZPR1 zinc finger","1"
"CREB3","10488","CREB3","cAMP responsive element binding protein 3","1"
"SPRY4","81848","SPRY4","sprouty RTK signaling antagonist 4","1"
"LY6E","4061","LY6E","lymphocyte antigen 6 family member E","1"
"MANEAL","149175","MANEAL","mannosidase endo-alpha like","1"
"NSG2","51617","NSG2","neuronal vesicle trafficking associated 2","1"
"PIANP","196500","PIANP","PILR alpha associated neural protein","1"
"SPRED3","399473","SPRED3","sprouty related EVH1 domain containing 3","1"
"UBL4A","8266","UBL4A","ubiquitin like 4A","1"
"GRINA","2907","GRINA","glutamate ionotropic receptor NMDA type subunit associated protein 1","1"
"PPEF1","5475","PPEF1","protein phosphatase with EF-hand domain 1","1"
"PNMA8A","55228","PNMA8A","PNMA family member 8A","1"
"PITHD1","57095","PITHD1","PITH domain containing 1","1"
"EGLN2","112398","EGLN2","egl-9 family hypoxia inducible factor 2","1"
"CAMKV","79012","CAMKV","CaM kinase like vesicle associated","1"
"KLHDC3","116138","KLHDC3","kelch domain containing 3","1"
"SULT4A1","25830","SULT4A1","sulfotransferase family 4A member 1","1"
"SNN","8303","SNN","stannin","1"
"TBCC","6903","TBCC","tubulin folding cofactor C","1"
"ATP6V0E2","155066","ATP6V0E2","ATPase H+ transporting V0 subunit e2","1"
"CCKBR","887","CCKBR","cholecystokinin B receptor","1"
"USP5","8078","USP5","ubiquitin specific peptidase 5","1"
"RAB6B","51560","RAB6B","""RAB6B, member RAS oncogene family""","1"
"RTL6","84247","RTL6","retrotransposon Gag like 6","1"
"MAPK3","5595","MAPK3","mitogen-activated protein kinase 3","1"
"EFNB3","1949","EFNB3","ephrin B3","1"
"POLE3","54107","POLE3","""DNA polymerase epsilon 3, accessory subunit""","1"
"NFE2L1","4779","NFE2L1","""nuclear factor, erythroid 2 like 1""","1"
"BAIAP2-DT","440465","BAIAP2-DT","BAIAP2 divergent transcript","1"
"COPS7A","50813","COPS7A","COP9 signalosome subunit 7A","1"
"DDN","23109","DDN","dendrin","1"
"OPRL1","4987","OPRL1","opioid related nociceptin receptor 1","1"
"FAIM2","23017","FAIM2","Fas apoptotic inhibitory molecule 2","1"
"NR2F6","2063","NR2F6","nuclear receptor subfamily 2 group F member 6","1"
"C1orf216","127703","C1orf216","chromosome 1 open reading frame 216","1"
"SPRY4-AS1","101926941","SPRY4-AS1","SPRY4 antisense RNA 1","1"
"ARL6IP5","10550","ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5","1"
"MTCH1","23787","MTCH1","mitochondrial carrier 1","1"
"SPATA2L","124044","SPATA2L","spermatogenesis associated 2 like","1"
"MANBAL","63905","MANBAL","mannosidase beta like","1"
"HNRNPUL2","221092","HNRNPUL2","heterogeneous nuclear ribonucleoprotein U like 2","1"
"DDX54","79039","DDX54","DEAD-box helicase 54","1"
"PARD6A","50855","PARD6A","par-6 family cell polarity regulator alpha","1"
"SUPT4H1","6827","SUPT4H1","""SPT4 homolog, DSIF elongation factor subunit""","1"
"FAM89B","23625","FAM89B","family with sequence similarity 89 member B","1"
"OTUB1","55611","OTUB1","""OTU deubiquitinase, ubiquitin aldehyde binding 1""","1"
"KCTD2","23510","KCTD2","potassium channel tetramerization domain containing 2","1"
"RAB1B","81876","RAB1B","""RAB1B, member RAS oncogene family""","1"
"CDK5R1","8851","CDK5R1","cyclin dependent kinase 5 regulatory subunit 1","1"
"TMEM167B","56900","TMEM167B","transmembrane protein 167B","1"
"VPS18","57617","VPS18","VPS18 core subunit of CORVET and HOPS complexes","1"
"SPRYD3","84926","SPRYD3","SPRY domain containing 3","1"
"FNDC5","252995","FNDC5","fibronectin type III domain containing 5","1"
"SYT13","57586","SYT13","synaptotagmin 13","1"
"SLC1A6","6511","SLC1A6","solute carrier family 1 member 6","1"
"FLRT1","23769","FLRT1","fibronectin leucine rich transmembrane protein 1","1"
"EPN1","29924","EPN1","epsin 1","1"
"FARSA","2193","FARSA","phenylalanyl-tRNA synthetase subunit alpha","1"
"TOR1A","1861","TOR1A","torsin family 1 member A","1"
"EI24","9538","EI24","EI24 autophagy associated transmembrane protein","1"
"VSTM2L","128434","VSTM2L","V-set and transmembrane domain containing 2 like","1"
"MAF1","84232","MAF1","""MAF1 homolog, negative regulator of RNA polymerase III""","1"
"PDE10A","10846","PDE10A","phosphodiesterase 10A","1"
"PGAM1","5223","PGAM1","phosphoglycerate mutase 1","1"
"NICN1","84276","NICN1","nicolin 1","1"
"SCN2B","6327","SCN2B","sodium voltage-gated channel beta subunit 2","1"
"SHC3","53358","SHC3","SHC adaptor protein 3","1"
"CDKN2AIPNL","91368","CDKN2AIPNL","CDKN2A interacting protein N-terminal like","1"
"MRFAP1","93621","MRFAP1","Morf4 family associated protein 1","1"
"CCDC85B","11007","CCDC85B","coiled-coil domain containing 85B","1"
"UBXN6","80700","UBXN6","UBX domain protein 6","1"
"BORCS6","54785","BORCS6","BLOC-1 related complex subunit 6","1"
"PEG13","359809","PEG13","paternally expressed 13","1"
"TMEM121","80757","TMEM121","transmembrane protein 121","1"
"PCYOX1","51449","PCYOX1","prenylcysteine oxidase 1","1"
"SARAF","51669","SARAF","store-operated calcium entry associated regulatory factor","1"
"PDXP","57026","PDXP","pyridoxal phosphatase","1"
"NOP9","161424","NOP9","NOP9 nucleolar protein","1"
"SERINC1","57515","SERINC1","serine incorporator 1","1"
"ABCF2","10061","ABCF2","ATP binding cassette subfamily F member 2","1"
"CTSB","1508","CTSB","cathepsin B","1"
"NCDN","23154","NCDN","neurochondrin","1"
"AP2M1","1173","AP2M1","adaptor related protein complex 2 subunit mu 1","1"
"RRAGA","10670","RRAGA","Ras related GTP binding A","1"
"SSTR3","6753","SSTR3","somatostatin receptor 3","1"
"DUSP26","78986","DUSP26","dual specificity phosphatase 26","1"
"NSG1","27065","NSG1","neuronal vesicle trafficking associated 1","1"
"REEP5","7905","REEP5","receptor accessory protein 5","1"
"GNAZ","2781","GNAZ","G protein subunit alpha z","1"
"ZBTB22","9278","ZBTB22","zinc finger and BTB domain containing 22","1"
"THAP5","168451","THAP5","THAP domain containing 5","1"
"SRXN1","140809","SRXN1","sulfiredoxin 1","1"
"TOMM20","9804","TOMM20","translocase of outer mitochondrial membrane 20","1"
"STOML2","30968","STOML2","stomatin like 2","1"
"HEY1","23462","HEY1","hes related family bHLH transcription factor with YRPW motif 1","1"
"SPOCK2","9806","SPOCK2","""SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2""","1"
"BTBD6","90135","BTBD6","BTB domain containing 6","1"
"C1orf115","79762","C1orf115","chromosome 1 open reading frame 115","1"
"TWF2","11344","TWF2","twinfilin actin binding protein 2","1"
"TMEM250","90120","TMEM250","transmembrane protein 250","1"
"GSK3A","2931","GSK3A","glycogen synthase kinase 3 alpha","1"
"TMED2","10959","TMED2","transmembrane p24 trafficking protein 2","1"
"TM2D2","83877","TM2D2","TM2 domain containing 2","1"
"GLRX5","51218","GLRX5","glutaredoxin 5","1"
"NPM3","10360","NPM3","nucleophosmin/nucleoplasmin 3","1"
"YWHAH","7533","YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta","1"
"LAMTOR1","55004","LAMTOR1","""late endosomal/lysosomal adaptor, MAPK and MTOR activator 1""","1"
"NAT8L","339983","NAT8L","N-acetyltransferase 8 like","1"
"MFSD5","84975","MFSD5","major facilitator superfamily domain containing 5","1"
"RBM15B","29890","RBM15B","RNA binding motif protein 15B","1"
"MRPS2","51116","MRPS2","mitochondrial ribosomal protein S2","1"
"PEA15","8682","PEA15","proliferation and apoptosis adaptor protein 15","1"
"ICMT","23463","ICMT","isoprenylcysteine carboxyl methyltransferase","1"
"TTPAL","79183","TTPAL","alpha tocopherol transfer protein like","1"
"ADO","84890","ADO","2-aminoethanethiol dioxygenase","1"
"FEN1","2237","FEN1","flap structure-specific endonuclease 1","1"
"BRK1","55845","BRK1","BRICK1 subunit of SCAR/WAVE actin nucleating complex","1"
"ATP6AP2","10159","ATP6AP2","ATPase H+ transporting accessory protein 2","1"
"CD59","966","CD59","CD59 molecule (CD59 blood group)","1"
"GTF2F1","2962","GTF2F1","general transcription factor IIF subunit 1","1"
"MAGEH1","28986","MAGEH1","MAGE family member H1","1"
"ADCK2","90956","ADCK2","aarF domain containing kinase 2","1"
"TMED9","54732","TMED9","transmembrane p24 trafficking protein 9","1"
"PHYHIP","9796","PHYHIP","phytanoyl-CoA 2-hydroxylase interacting protein","1"
"DMTN","2039","DMTN","dematin actin binding protein","1"
"ALDH1B1","219","ALDH1B1","aldehyde dehydrogenase 1 family member B1","1"
"PNMA1","9240","PNMA1","PNMA family member 1","1"
"NRN1","51299","NRN1","neuritin 1","1"
"ABHD14A","25864","ABHD14A","abhydrolase domain containing 14A","1"
"SERINC3","10955","SERINC3","serine incorporator 3","1"
"KCNJ9","3765","KCNJ9","potassium inwardly rectifying channel subfamily J member 9","1"
"ATP6V1B2","526","ATP6V1B2","ATPase H+ transporting V1 subunit B2","1"
"AAMP","14","AAMP","angio associated migratory cell protein","1"
"B4GALT7","11285","B4GALT7","""beta-1,4-galactosyltransferase 7""","1"
"PNMA8C","NA","NA","NA","0"
"TMEM35A","59353","TMEM35A","transmembrane protein 35A","1"
"ZNF215","7762","ZNF215","zinc finger protein 215","1"
"OIP5-AS1","729082","OIP5-AS1","OIP5 antisense RNA 1","1"
"NORAD","647979","NORAD","non-coding RNA activated by DNA damage","1"
"SYT4","6860","SYT4","synaptotagmin 4","1"
"RAN","5901","RAN","""RAN, member RAS oncogene family""","1"
"RIMS3","9783","RIMS3","regulating synaptic membrane exocytosis 3","1"
"VPS4A","27183","VPS4A","vacuolar protein sorting 4 homolog A","1"
"MRPS17","51373","MRPS17","mitochondrial ribosomal protein S17","1"
"PEX19","5824","PEX19","peroxisomal biogenesis factor 19","1"
"CD2BP2","10421","CD2BP2","CD2 cytoplasmic tail binding protein 2","1"
"PHF23","79142","PHF23","PHD finger protein 23","1"
"NBL1","4681","NBL1","""NBL1, DAN family BMP antagonist""","1"
"SPRED2","200734","SPRED2","sprouty related EVH1 domain containing 2","1"
"ARF3","377","ARF3","ADP ribosylation factor 3","1"
"DHCR24","1718","DHCR24","24-dehydrocholesterol reductase","1"
"MSL3","10943","MSL3","MSL complex subunit 3","1"
"JCAD","57608","JCAD","junctional cadherin 5 associated","1"
"PEF1","553115","PEF1","penta-EF-hand domain containing 1","1"
"NOLC1","9221","NOLC1","nucleolar and coiled-body phosphoprotein 1","1"
"KBTBD4","55709","KBTBD4","kelch repeat and BTB domain containing 4","1"
"AMIGO1","57463","AMIGO1","adhesion molecule with Ig like domain 1","1"
"KMO","8564","KMO","kynurenine 3-monooxygenase","1"
"AGPAT1","10554","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1","1"
"HMGA1","3159","HMGA1","high mobility group AT-hook 1","1"
"MAGEE1","57692","MAGEE1","MAGE family member E1","1"
"PINK1","65018","PINK1","PTEN induced kinase 1","1"
"PYGO2","90780","PYGO2","pygopus family PHD finger 2","1"
"WSB2","55884","WSB2","WD repeat and SOCS box containing 2","1"
"PELI3","246330","PELI3","pellino E3 ubiquitin protein ligase family member 3","1"
"SSTR1","6751","SSTR1","somatostatin receptor 1","1"
"FJX1","24147","FJX1","four-jointed box kinase 1","1"
"WBP2","23558","WBP2","WW domain binding protein 2","1"
"RPS6KA5","9252","RPS6KA5","ribosomal protein S6 kinase A5","1"
"TIMM17A","10440","TIMM17A","translocase of inner mitochondrial membrane 17A","1"
"SMKR1","100287482","SMKR1","small lysine rich protein 1","1"
"OAZ1","4946","OAZ1","ornithine decarboxylase antizyme 1","1"
"C11orf68","83638","C11orf68","chromosome 11 open reading frame 68","1"
"RNF187","149603","RNF187","ring finger protein 187","1"
"PER2","8864","PER2","period circadian regulator 2","1"
"DEXI","28955","DEXI","Dexi homolog","1"
"SNX12","29934","SNX12","sorting nexin 12","1"
"UBFD1","56061","UBFD1","ubiquitin family domain containing 1","1"
"B4GALT3","8703","B4GALT3","""beta-1,4-galactosyltransferase 3""","1"
"C6orf120","387263","C6orf120","chromosome 6 open reading frame 120","1"
"PKM","5315","PKM","pyruvate kinase M1/2","1"
"DKK3","27122","DKK3","dickkopf WNT signaling pathway inhibitor 3","1"
"PRNP","5621","PRNP","prion protein","1"
"CREG2","200407","CREG2","cellular repressor of E1A stimulated genes 2","1"
"ZNF747","65988","ZNF747","zinc finger protein 747","1"
"DYNLL2","140735","DYNLL2","dynein light chain LC8-type 2","1"
"TEF","7008","TEF","""TEF transcription factor, PAR bZIP family member""","1"
"SHISA4","149345","SHISA4","shisa family member 4","1"
"FAM131A","131408","FAM131A","family with sequence similarity 131 member A","1"
"PIP4P1","90809","PIP4P1","""phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1""","1"
"PNMA8B","57469","PNMA8B","PNMA family member 8B","1"
"ATP6V0D1","9114","ATP6V0D1","ATPase H+ transporting V0 subunit d1","1"
"ATP6V0C","527","ATP6V0C","ATPase H+ transporting V0 subunit c","1"
"CDK5R2","8941","CDK5R2","cyclin dependent kinase 5 regulatory subunit 2","1"
"EEF2","1938","EEF2","eukaryotic translation elongation factor 2","1"
"NGRN","51335","NGRN","""neugrin, neurite outgrowth associated""","1"
"CDKN2D","1032","CDKN2D","cyclin dependent kinase inhibitor 2D","1"
"C22orf39","128977","C22orf39","chromosome 22 open reading frame 39","1"
"STMN3","50861","STMN3","stathmin 3","1"
"BCL7B","9275","BCL7B","BAF chromatin remodeling complex subunit BCL7B","1"
"RNF26","79102","RNF26","ring finger protein 26","1"
"TOLLIP","54472","TOLLIP","toll interacting protein","1"
"ARHGDIA","396","ARHGDIA","Rho GDP dissociation inhibitor alpha","1"
"N4BP2","55728","N4BP2","NEDD4 binding protein 2","1"
"SEPHS2","22928","SEPHS2","selenophosphate synthetase 2","1"
"NNAT","4826","NNAT","neuronatin","1"
"NEIL2","252969","NEIL2","nei like DNA glycosylase 2","1"
"CCDC106","29903","CCDC106","coiled-coil domain containing 106","1"
"CELSR2","1952","CELSR2","cadherin EGF LAG seven-pass G-type receptor 2","1"
"TUSC1","286319","TUSC1","tumor suppressor candidate 1","1"
"CALM3","808","CALM3","calmodulin 3","1"
"MAL2","114569","MAL2","""mal, T cell differentiation protein 2 (gene/pseudogene)""","1"
"FAM131B","9715","FAM131B","family with sequence similarity 131 member B","1"
"HCG11","493812","HCG11","HLA complex group 11","1"
"TAF13","6884","TAF13","TATA-box binding protein associated factor 13","1"
"KBTBD6","89890","KBTBD6","kelch repeat and BTB domain containing 6","1"
"SEZ6L2","26470","SEZ6L2","seizure related 6 homolog like 2","1"
"ILF2","3608","ILF2","interleukin enhancer binding factor 2","1"
"SALL2","6297","SALL2","spalt like transcription factor 2","1"
"TMIE","259236","TMIE","transmembrane inner ear","1"
"STOML1","9399","STOML1","stomatin like 1","1"
"B3GALT1","8708","B3GALT1","""beta-1,3-galactosyltransferase 1""","1"
"BYSL","705","BYSL","bystin like","1"
"MYADM","91663","MYADM","myeloid associated differentiation marker","1"
"TMEM59L","25789","TMEM59L","transmembrane protein 59 like","1"
"MOCS3","27304","MOCS3","molybdenum cofactor synthesis 3","1"
"MOAP1","64112","MOAP1","modulator of apoptosis 1","1"
"DCTN1","1639","DCTN1","dynactin subunit 1","1"
"FITM2","128486","FITM2","fat storage inducing transmembrane protein 2","1"
"GDE1","51573","GDE1","glycerophosphodiester phosphodiesterase 1","1"
"PSMD8","5714","PSMD8","""proteasome 26S subunit, non-ATPase 8""","1"
"KCTD17","79734","KCTD17","potassium channel tetramerization domain containing 17","1"
"HNRNPA0","10949","HNRNPA0","heterogeneous nuclear ribonucleoprotein A0","1"
"JPT1","51155","JPT1","Jupiter microtubule associated homolog 1","1"
"MEPCE","56257","MEPCE","methylphosphate capping enzyme","1"
"PRAF2","11230","PRAF2","PRA1 domain family member 2","1"
"ATP1A1","476","ATP1A1","ATPase Na+/K+ transporting subunit alpha 1","1"
"EIF1","10209","EIF1","eukaryotic translation initiation factor 1","1"
"C4orf3","401152","C4orf3","chromosome 4 open reading frame 3","1"
"ARPC5L","81873","ARPC5L","actin related protein 2/3 complex subunit 5 like","1"
"POLR2E","5434","POLR2E","RNA polymerase II subunit E","1"
"ZMAT2","153527","ZMAT2","zinc finger matrin-type 2","1"
"IGIP","492311","IGIP","IgA inducing protein","1"
"IMP4","92856","IMP4","IMP U3 small nucleolar ribonucleoprotein 4","1"
"FXYD6","53826","FXYD6","FXYD domain containing ion transport regulator 6","1"
"ACTG1","71","ACTG1","actin gamma 1","1"
"KLC2","64837","KLC2","kinesin light chain 2","1"
"LRRC59","55379","LRRC59","leucine rich repeat containing 59","1"
"L1CAM","3897","L1CAM","L1 cell adhesion molecule","1"
"SSU72","29101","SSU72","""SSU72 homolog, RNA polymerase II CTD phosphatase""","1"
"SLC39A7","7922","SLC39A7","solute carrier family 39 member 7","1"
"CHST1","8534","CHST1","carbohydrate sulfotransferase 1","1"
"CHRNB2","1141","CHRNB2","cholinergic receptor nicotinic beta 2 subunit","1"
"PLK2","10769","PLK2","polo like kinase 2","1"
"BAD","572","BAD","BCL2 associated agonist of cell death","1"
"HSBP1","3281","HSBP1","heat shock factor binding protein 1","1"
"MRPL49","740","MRPL49","mitochondrial ribosomal protein L49","1"
"POP7","10248","POP7","""POP7 homolog, ribonuclease P/MRP subunit""","1"
"TOMM40L","84134","TOMM40L","translocase of outer mitochondrial membrane 40 like","1"
"ATXN7L3B","552889","ATXN7L3B","ataxin 7 like 3B","1"
