GENE_SYMBOLS,refseq_ids
GNG12-AS1,NR_040077
AZIN2,NM_001293562
MPEG1,NM_001039396
SLC35G2,NM_001097599
LTC4S,NM_000897
CX3CR1,NM_001171171
SFMBT2,NM_001018039
TRPM3,NM_001007470
MED12L,NM_001393769
AZIN1-AS1,NA
PRDM11,NM_001256695
PLAT,NM_000930
IGF1,NM_000618
ENO4,NM_001242699
NAALADL2,NM_207015
HNRNPA1P48,NA
NAV2,NM_001111018
A2M,NM_000014
DLEU7,NM_001306135
PDE4D,NM_001104631
BCAR3,NM_001261408
MGLL,NM_001003794
IFNAR2,NM_000874
PER3,NM_001289861
ADAP2,NM_001346712
AGBL3,NM_001345850
ATG14,NM_014924
HMGA1P4,NA
RNASEH2B-AS1,NR_046552
TNFAIP8,NM_001077654
SLC38A2,NM_001307936
IQCH,NM_001031715
TMTC2,NM_001320321
MACORIS,NR_184023
NUFIP2,NM_020772
NEAT1,NR_002802
DOCK4-AS1,NR_103806
ADA2,NM_001282225
SUSD3,NM_001287005
ENTPD1-AS1,NR_038444
DEC1,NA
PIGL,NM_001411072
IGF2R,NM_000876
LILRB4,NM_001081438
PHF21A,NM_001101802
PLXDC1,NM_020405
LOXL3,NM_001289164
MICOS10,NM_001032363
NRN1,NM_001278710
P2RY13,NM_023914
ACY3,NM_080658
ZNF337-AS1,NR_126465
TMED8,NM_001346131
PID1,NM_001100818
MEF2C-AS2,NR_146284
BDNF-AS,NR_002832
FMN1,NM_001103184
CACNB4,NM_000726
EAF2,NM_001320041
GAL3ST4,NM_024637
FP700111.1,NA
KCNQ1OT1,NR_002728
CBR3-AS1,NR_038892
RAP2C-AS1,NR_110410
KBTBD12,NM_001370224
SRGAP2-AS1,NR_104189
RBFOX1,NM_001142333
MTUS2,NM_001033602
CTNNA3,NM_001127384
MEI4,NM_001282136
FCGR2A,NM_001136219
DHRS4-AS1,NM_018583
APOE,NM_000041
BST2,NM_004335
C11orf65,NM_001330368
ZBTB20-AS5,NR_121661
P2RY12,NM_022788
GPR34,NM_001033513
CEMIP,NM_001293298
PLD4,NM_001308174
JAK3,NM_000215
NRG1,NM_001159995
CSF2RA,NM_001161529
CLEC1A,NM_001297748
C1QA,NM_001347465
AIDA,NM_022831
CLEC9A,NM_207345
GPR65,NM_003608
C1orf162,NM_001300834
ZNF7,NM_001282795
TSPO,NM_000714
RIMS2,NM_001100117
IL3RA,NM_001267713
NCK1-DT,NR_110175
DIAPH2-AS1,NR_125391
SPDYE3,NM_001004351
C1QC,NM_001114101
SERPINA1,NM_000295
ITGAX,NM_000887
RPS19,NM_001022
C1orf112,NA
NLRC5,NM_001330552
KIF26B,NM_018012
C12orf76,NM_001389625
DPYD,NM_000110
MYRIP,NM_001284423
ACSM5,NM_001324371
RNF213-AS1,NR_029376
TRPS1,NM_001282902
TBC1D8,NM_001102426
BEAN1,NM_001136106
DTNBP1,NM_001271667
FGF14,NM_001321931
PFN2,NM_002628
OPRM1,NM_000914
NEK3,NM_001146099
SLC8A1-AS1,NR_038441
WLS,NM_001002292
CASP1,NM_001223
TMLHE-AS1,NR_039991
ANAPC13,NM_001242374
STON2,NM_001256430
RASA2,NM_001303245
ATP11A,NM_001405661
SERF2,NM_001018108
SNTG1,NM_001287813
DSE,NM_001080976
FOXP1,NM_001012505
CD163,NM_001370145
OVOL2,NM_001303461
AGTPBP1,NM_001286715
ZNF490,NM_020714
TSHZ3,NM_020856
ZKSCAN7-AS1,NR_157564
SGCE,NM_001099400
ADAMTS19,NM_133638
IPO9-AS1,NR_046696
RUNX1,NM_001001890
DLGAP1,NM_001003809
HCLS1,NM_001292041
PFN1,NM_001375991
CCSER1,NM_001145065
SMIM15-AS1,NR_109908
SYN3,NM_001135774
ZNF385B,NM_001113397
ABHD3,NM_001308256
STXBP5L,NM_001308330
FCGR3A,NM_000569
MAMDC2-AS1,NR_040076
CASP4,NM_001225
TNFAIP2,NM_001371220
HAAO,NM_012205
UNC5D,NM_001322818
TLR5,NM_003268
FCER1G,NM_004106
SEC14L2,NM_001204204
PCSK5,NM_001190482
GRM5,NM_000842
KCNH1,NM_002238
HCG22,NM_001348249
MS4A6A,NM_001247999
SH3PXD2B,NM_001017995
CNTNAP2,NM_014141
AGBL4,NM_001323573
NLRP3,NM_001079821
OPCML,NM_001012393
CCDC200,NM_001363254
FMO5,NM_001144829
FLOT2,NM_001330170
ELMO1-AS1,NR_104120
CACNA1C,NM_000719
IL15,NM_000585
NR1D2,NM_001145425
YBX3,NM_001145426
CTSA,NM_000308
RGS7,NM_001282773
SYNDIG1,NM_001323606
CACNA1B,NM_000718
NAP1L5,NM_153757
IKBKE,NM_001193321
GTF2IRD2,NM_001281447
IGSF6,NM_005849
RAB40B,NM_006822
RBPJ,NM_001363577
CLIC1,NM_001287593
CD63,NM_001040034
NRG3,NM_001010848
RBMS1,NM_002897
PDE4B,NM_001037339
RNPEPL1,NM_018226
CHST15,NM_001270764
PYGL,NM_001163940
AFF3,NM_001025108
ZCWPW1,NM_001258008
PIGX,NM_001166304
CDH23,NM_001171930
ARHGAP9,NM_001080156
LCP1,NM_002298
RAB27A,NM_004580
C1QB,NM_000491
HCN1,NM_021072
MDGA2,NM_001113498
INSL6,NM_007179
TGFBI,NM_000358
GSDMD,NM_001166237
PCP4,NM_006198
HDGFL3,NM_016073
STAB1,NM_015136
IQGAP1,NM_003870
ITGA9-AS1,NR_110531
CHRM3,NM_000740
PLEKHG5,NM_001042663
PPIB,NM_000942
PRKCQ,NM_001242413
CNTN4,NM_001206955
KCNQ5,NM_001160130
ZNF711,NM_001330574
CDK2AP2,NM_001271849
P3H2,NM_001134418
RPS29,NM_001030001
CFAP74,NM_001003808
SPNS3,NM_001320449
DHRS9,NM_001142270
GEMIN7-AS1,NR_134887
PMEPA1,NM_001255976
KCNIP4,NM_001035003
NRXN3,NM_001105250
RPL18A,NM_000980
SAP30,NM_003864
CD276,NM_001024736
LINGO2,NM_001258282
SMIM3,NM_032947
CALD1,NM_004342
CNTNAP5,NM_001367498
TMEM72-AS1,NR_033842
PTPRT,NM_001394024
CTSO,NM_001334
CTSZ,NM_001336
CNTN5,NM_001243270
TBC1D14,NM_001113361
KCNMB1,NM_004137
AF127577.2,NA
CD163L1,NM_001297650
NFIL3,NM_001289999
MAP3K7CL,NM_001286617
WNT5B,NM_030775
GABRG3,NM_001270873
BCL6,NM_001130845
TCIRG1,NM_001351059
ATP8A2,NM_001313741
DSCAM,NM_001271534
DLEU1,NM_005887
STAT3,NM_001369512
RPS10,NM_001014
GALNT17,NM_022479
TCF4,NM_001083962
KAZN,NM_001017999
CSMD1,NM_033225
CPNE4,NM_001289112
MRC2,NM_006039
TMEM132D,NM_133448
GRM7,NM_000844
PTPRB,NM_001109754
PIK3AP1,NM_152309
FFAR4,NM_001195755
LY96,NM_001195797
CALR,NM_004343
TENM2,NM_001080428
STEAP1B,NM_001164460
POLR2K,NM_005034
FBXL13,NM_001111038
DUSP10,NM_007207
BUB3,NM_001007793
HIF1A,NM_001243084
BIN2,NM_001290007
CCDC191,NM_001353766
SDCBP,NM_001007067
PROX1,NM_001270616
FGF20,NM_019851
RORA,NM_002943
RPS2,NM_002952
DRAM1,NM_018370
CDH18,NM_001167667
TMSB10,NM_021103
ST14,NM_021978
ADGRL2,NM_001297704
ASIC2,NM_001094
RNF149,NM_173647
KCNB2,NM_004770
GOLPH3,NM_022130
USP3-AS1,NR_034080
CD93,NM_012072
RASL10A,NM_001007279
DOCK5,NM_001322810
SLA,NM_001045556
TNFRSF13C,NM_052945
ACSL1,NM_001286708
KCNMB2,NM_001278911
APOC1,NM_001321065
TRIM5,NM_001410958
LAIR1,NM_001289023
C4orf19,NM_001104629
ROBO2,NM_001128929
CYCS,NM_018947
IFITM2,NM_006435
OAS1,NM_001032409
RNF217,NM_001286398
TXNIP,NM_001313972
BTD,NM_001281723
RPLP1,NM_001003
GRN,NM_001012479
LIPC,NM_000236
ELOVL5,NM_001242828
SPDYE1,NM_001378423
MGAT1,NM_001114617
NIBAN1,NM_052966
RASSF4,NM_032023
ATP2B4,NM_001001396
LEPR,NM_001003679
SGCZ,NM_001322879
SELPLG,NM_001206609
CYSLTR1,NM_001282186
TXNDC5,NM_001145549
CDH12,NM_001317227
UBXN2B,NM_001077619
CASC15,NR_015410
ERC2,NM_015576
RPS13,NM_001017
UBOX5-AS1,NR_038395
LDB2,NM_001130834
KCNH7,NM_033272
NSMAF,NM_001144772
MS4A14,NM_001079692
HVCN1,NM_001040107
EML1,NM_001008707
LRRTM4,NM_001134745
TAGAP,NM_001278733
HRH1,NM_000861
TBC1D30,NM_001330186
PTPN2,NM_001207013
LITAF,NM_001136472
UQCRQ,NM_014402
ZNF451-AS1,NR_110742
SALL1,NM_001127892
ANKUB1,NM_001144960
GCA,NM_001330265
INSYN2B,NM_001129891
CYSTM1,NM_032412
FRMPD4,NM_001368395
ARRDC5,NM_001080523
MAP3K8,NM_001244134
PLSCR1,NM_001363872
NLRP1,NM_001033053
GPSM3,NM_001276501
MAMDC2,NM_001347990
RNF144B,NM_182757
CPT1A,NM_001031847
RALYL,NM_001100391
PAXBP1-AS1,NR_038879
TBC1D2B,NM_001387142
MAGEH1,NM_014061
ELF2,NM_001276457
S100A11,NM_005620
RPL12,NM_000976
FTH1,NM_002032
POU6F2,NM_001166018
MAP2K6,NM_001330450
LRFN5,NM_001330106
OSCP1,NM_001330493
EEPD1,NM_030636
ADRB2,NM_000024
PPP1R14B,NM_138689
TNFSF13B,NM_001145645
LILRB3,NM_001081450
PAQR3,NM_001040202
APOC2,NM_000483
CLIC4,NM_013943
RCAN3,NM_001251977
GBP2,NM_004120
STAT5A,NM_001288718
RPL39,NM_001000
CBWD3,NA
RPL26,NM_000987
UGCG,NM_003358
HMOX1,NM_002133
LRRK2,NM_198578
MYCBP2-AS1,NR_046716
LY86-AS1,NM_173675
IGSF10,NM_001178145
HSPA1A,NM_005345
SLC5A3,NM_006933
RPL36A,NM_001199972
ZNF565,NM_001042474
PVT1,NR_003367
SH2B2,NM_001359228
CFLAR-AS1,NR_040030
ENTPD3-AS1,NR_040100
CEBPB,NM_001285878
LMLN,NM_001136049
DENND3,NM_001352890
TLR3,NM_003265
RYR2,NM_001035
SLC35F3,NM_001300845
MGAM,NM_001365693
COX7A1,NM_001864
NPC2,NM_001363688
RFX3-AS1,NA
IMPA2,NM_014214
MYADM,NM_001020818
SLC66A3,NM_001282710
