GENE_SYMBOLS,refseq_ids
GNG12-AS1,NR_040077
AZIN2,NM_001293562
MPEG1,NM_001039396
IGF1,NM_000618
CX3CR1,NM_001171171
KBTBD12,NM_001370224
SLC35G2,NM_001097599
TRPM3,NM_001007470
ENO4,NM_001242699
LTC4S,NM_000897
MED12L,NM_001393769
NAV2,NM_001111018
DLEU7,NM_001306135
BDNF-AS,NR_002832
PLAT,NM_000930
HNRNPA1P48,NA
PID1,NM_001100818
PER3,NM_001289861
RNASEH2B-AS1,NR_046552
PRDM11,NM_001256695
MEF2C-AS2,NR_146284
OPRM1,NM_000914
SAP30,NM_003864
KCNQ1OT1,NR_002728
TBC1D8,NM_001102426
MAP3K8,NM_001244134
CD163,NM_001370145
TNFAIP8,NM_001077654
SH3PXD2B,NM_001017995
DIAPH2-AS1,NR_125391
DSE,NM_001080976
GPR65,NM_003608
CEMIP,NM_001293298
NEAT1,NR_002802
FP700111.1,NA
AF127577.2,NA
ZBTB20-AS5,NR_121661
CASP4,NM_001225
IL15,NM_000585
PDE4B,NM_001037339
RAB27A,NM_004580
MEI4,NM_001282136
DPYD,NM_000110
TSHZ3,NM_020856
JAK3,NM_000215
CLEC1A,NM_001297748
RNF149,NM_173647
LY96,NM_001195797
APOE,NM_000041
MAMDC2-AS1,NR_040076
IQCH,NM_001031715
HIF1A,NM_001243084
IKBKE,NM_001193321
FCGR2A,NM_001136219
NFIL3,NM_001289999
SERPINA1,NM_000295
WNT5B,NM_030775
DOCK4-AS1,NR_103806
TBC1D14,NM_001113361
BST2,NM_004335
TGFBI,NM_000358
C11orf65,NM_001330368
MAMDC2,NM_001347990
UBXN2B,NM_001077619
DHRS9,NM_001142270
ECT2,NM_001258315
YBX3,NM_001145426
ADAMTS19,NM_133638
INSL6,NM_007179
ACY3,NM_080658
GCA,NM_001330265
CD163L1,NM_001297650
ACSL1,NM_001286708
FAM110B,NM_001377989
BEAN1,NM_001136106
HRH1,NM_000861
DRAM1,NM_018370
APOC1,NM_001321065
MGAM,NM_001365693
LITAF,NM_001136472
SPDYE3,NM_001004351
IFITM2,NM_006435
CD93,NM_012072
HCG22,NM_001348249
SMIM3,NM_032947
PLSCR1,NM_001363872
STAB1,NM_015136
ADAMTS17,NM_139057
CLEC2B,NM_005127
PROX1,NM_001270616
ST14,NM_021978
KIF26B,NM_018012
CDH26,NM_001348204
ENPP1,NM_006208
ERC2,NM_015576
LIMK2,NM_001031801
RNF144B,NM_182757
GBP2,NM_004120
MIR181A1HG,NR_040073
LDLRAD3,NM_001304263
GRAMD1A,NM_001136199
CD55,NM_000574
PVT1,NR_003367
PTPN2,NM_001207013
FAM20A,NM_001243746
HRH2,NM_001131055
BCL6,NM_001130845
LILRB3,NM_001081450
RORA-AS1,NR_120339
NIBAN1,NM_052966
PPP1R3B,NM_001201329
TMEM163,NM_030923
RAB20,NM_017817
DPYD-AS1,NR_046590
LIPG,NM_001308006
IL21R,NM_021798
THEMIS2,NM_001039477
F13A1,NM_000129
PRKCQ,NM_001242413
FLVCR2,NM_001195283
LMNB1,NM_001198557
C17orf67,NM_001085430
HSPA6,NM_002155
SLC11A1,NM_000578
CHI3L1,NM_001276
ALOX15B,NM_001039130
HAMP,NM_021175
CEBPD,NM_005195
SH2B2,NM_001359228
MANF,NM_006010
SMIM35,NM_001354434
HSPA1B,NM_005346
SLC7A5,NM_003486
HSPA1A,NM_005345
SPP1,NM_000582
PIM1,NM_001243186
ADGRE2,NM_001271052
NAMPT,NM_005746
CALCR,NM_001164737
GK,NM_000167
C5AR1,NM_001736
PLTP,NM_001242920
FGR,NM_001042729
S100A9,NM_002965
CEMIP2,NM_001135820
ROR2,NM_001318204
FCGBP,NM_003890
SCO2,NM_001169109
SRGN,NM_001321053
S100A8,NM_001319196
PRDM1,NM_001198
EZH2,NM_001203247
APOLD1,NM_001130415
CH25H,NM_003956
PLAC8,NM_001130715
HSPA5,NM_005347
SDF2L1,NM_022044
DUSP1,NM_004417
