GENE_SYMBOLS,refseq_ids
SNRPE,NM_001304464
PPIB,NM_000942
MIS12,NM_001258217
SYT11,NM_152280
ENAH,NM_001008493
DBI,NM_001079862
UNC80,NM_001371986
PTMA,NM_001099285
ENTPD3-AS1,NR_040100
RPL14,NM_001034996
RPL22L1,NM_001099645
FGF2,NM_001361665
GLRB,NM_000824
HCN1,NM_021072
PDE8B,NM_001029851
NR2F1-AS1,NR_015369
GALNT10,NM_017540
RPS18,NM_022551
RPS10,NM_001014
RPL10A,NM_007104
TRERF1,NM_001297573
RPS12,NM_001016
ABCB4,NM_000443
CDK6,NM_001145306
SLC4A2,NM_001199692
PSIP1,NM_001128217
PTPDC1,NM_001253829
TMEFF1,NM_003692
RPL12,NM_000976
GTPBP4,NM_012341
TNKS2,NM_025235
CHID1,NM_001142674
SYT7,NM_001252065
FAU,NM_001997
CDK2AP2,NM_001271849
DYNC2H1,NM_001080463
DCTN2,NM_001261412
RPL21,NM_000982
MRPL52,NM_001318870
MPP5,NA
RPS27L,NM_015920
RPLP1,NM_001003
ADAMTS17,NM_139057
RPS15A,NM_001019
E2F4,NM_001950
TUBB3,NM_001197181
RPL26,NM_000987
HLF,NM_001330375
NOL4,NM_001198546
IER3IP1,NM_016097
RPL17,NM_000985
SEC11C,NM_001307941
P2RY11,NM_002566
RPL18A,NM_000980
LIN7B,NM_001308419
TMEM121B,NM_001163079
Z83844.2,NA
KANTR,NM_001397448
RPL36A,NM_001199972
MIR503HG,NM_032762
RTL8A,NM_001078172
RPL10,NM_001256577
CLSTN2,NM_022131
LIMCH1,NM_001112717
CLEC5A,NM_001301167
NMNAT2,NM_015039
UQCRQ,NM_014402
RIMS2,NM_001100117
C1RL,NM_001297640
RPL41,NM_001035267
CACNG3,NM_006539
SNHG29,NM_152350
STAT5A,NM_001288718
MYDGF,NM_019107
RPL18,NM_000979
ATP5F1E,NM_006886
TEF,NM_001145398
S100PBP,NM_001017406
SUCLG2-AS1,NA
NCBP2,NM_001042540
TPD52L1,NM_001003395
OPRM1,NM_000914
FAM171A1,NM_001010924
ATXN7L3,NM_001098833
RPS7,NM_001011
OSTC,NM_001267817
NFIB,NM_001190737
NME1,NM_000269
SNHG8,NR_003584
ENO4,NM_001242699
RPS2,NM_002952
PCNT,NM_001315529
RPS13,NM_001017
ACOX3,NM_001101667
LTBR,NM_001270987
GALNT13,NM_001301627
RPP21,NM_001199120
SELENOH,NM_001321335
CALM1,NM_001166106
RPS28,NM_001031
RPS19,NM_001022
ZNF217,NM_001385034
ZNF630,NM_001037735
ZNF25,NM_001329647
PDIA6,NM_001282704
USP38,NM_001290325
CYBA,NM_000101
DPF1,NM_001135155
GART,NM_000819
CEP128,NM_152446
CBR1,NM_001286789
MRPL24,NM_024540
ZNF124,NM_001243740
SRBD1,NM_018079
CCDC138,NM_001303105
RPSA,NM_001304288
ECT2,NM_001258315
KCNMB2-AS1,NR_126560
PEX5L,NM_001256750
RPL9,NM_000661
RPL34,NM_000995
RPS14,NM_001025070
ABHD16A,NM_001177515
GRIK2,NM_001166247
KIAA0408,NM_014702
TMEM181,NM_001376817
RIC8A,NM_001286134
RPS3,NM_001005
TIMM8B,NM_012459
WNT5B,NM_030775
MGST1,NM_001260511
TFDP1,NM_007111
TTC8,NM_001288781
CKLF,NM_001040138
KIF3B,NM_004798
TSR2,NM_001346789
RPS3A,NM_001006
RPL7,NM_000971
RPL11,NM_000975
SRPRA,NM_001177842
NT5C,NM_001252377
IFITM3,NM_021034
ZMIZ2,NM_001300959
SGCE,NM_001099400
CAPN2,NM_001146068
ATP5PF,NM_001003696
PLXNA2,NM_025179
IRGQ,NM_001007561
PLPP1,NM_003711
GALT,NM_000155
CAMK2N1,NM_018584
PMVK,NM_001323011
TFDP2,NM_001178138
FMC1,NM_197964
ATRNL1,NM_001276282
SYTL2,NM_001162951
ARHGAP9,NM_001080156
NOP10,NM_018648
AKTIP,NM_001012398
RPS15,NM_001018
RPS16,NM_001020
SEPTIN3,NM_001363845
SORCS3,NM_014978
COL18A1,NM_001379500
RPL38,NM_000999
