GENE_SYMBOLS,refseq_ids
PPIB,NM_000942
ENTPD3-AS1,NR_040100
FGF2,NM_001361665
SLC4A2,NM_001199692
RPL12,NM_000976
RPL26,NM_000987
RPL18A,NM_000980
CDK2AP2,NM_001271849
CLSTN2,NM_022131
HCN1,NM_021072
RPS10,NM_001014
ABCB4,NM_000443
CLEC5A,NM_001301167
RPLP1,NM_001003
ADAMTS17,NM_139057
RPS15A,NM_001019
STAT5A,NM_001288718
RPL36A,NM_001199972
SUCLG2-AS1,NA
UQCRQ,NM_014402
OPRM1,NM_000914
RIMS2,NM_001100117
SNHG8,NR_003584
ENO4,NM_001242699
RPS2,NM_002952
RPS13,NM_001017
GALNT13,NM_001301627
RPS19,NM_001022
PDIA6,NM_001282704
TIMM8B,NM_012459
ECT2,NM_001258315
WNT5B,NM_030775
SGCE,NM_001099400
IFITM3,NM_021034
PLXNA2,NM_025179
FMC1,NM_197964
ARHGAP9,NM_001080156
NOP10,NM_018648
SORCS3,NM_014978
STEAP3,NM_001008410
SGCB,NM_000232
SRRM4,NM_194286
