"Query","Entrez","Symbol","Name","Comment"
"TMEM141","85014","TMEM141","transmembrane protein 141","1"
"COX7A1","1346","COX7A1","cytochrome c oxidase subunit 7A1","1"
"SELENOH","280636","SELENOH","selenoprotein H","1"
"ATOX1","475","ATOX1","antioxidant 1 copper chaperone","1"
"CHCHD2","51142","CHCHD2","coiled-coil-helix-coiled-coil-helix domain containing 2","1"
"OTUD6B-AS1","100506365","OTUD6B-AS1","OTUD6B antisense RNA 1 (head to head)","1"
"POLR2K","5440","POLR2K","RNA polymerase II subunit K","1"
"SEC61B","10952","SEC61B","SEC61 translocon subunit beta","1"
"NEDD8","4738","NEDD8","NEDD8 ubiquitin like modifier","1"
"RSL24D1","51187","RSL24D1","ribosomal L24 domain containing 1","1"
"C18orf32","497661","C18orf32","chromosome 18 open reading frame 32","1"
"SDHAF1","644096","SDHAF1","succinate dehydrogenase complex assembly factor 1","1"
"TMEM160","54958","TMEM160","transmembrane protein 160","1"
"DDT","1652","DDT","D-dopachrome tautomerase","1"
"UQCR10","29796","UQCR10","""ubiquinol-cytochrome c reductase, complex III subunit X""","1"
"LAGE3","8270","LAGE3","L antigen family member 3","1"
"CHCHD1","118487","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1","1"
"POLR2I","5438","POLR2I","RNA polymerase II subunit I","1"
"ATP5IF1","93974","ATP5IF1","ATP synthase inhibitory factor subunit 1","1"
"LAMTOR5","10542","LAMTOR5","""late endosomal/lysosomal adaptor, MAPK and MTOR activator 5""","1"
"MTLN","205251","MTLN","mitoregulin","1"
"LSM2","57819","LSM2","""LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"COX7A2","1347","COX7A2","cytochrome c oxidase subunit 7A2","1"
"RPLP2","6181","RPLP2","ribosomal protein lateral stalk subunit P2","1"
"COX14","84987","COX14","cytochrome c oxidase assembly factor COX14","1"
"SELENOW","6415","SELENOW","selenoprotein W","1"
"RPS19BP1","91582","RPS19BP1","ribosomal protein S19 binding protein 1","1"
"TCEAL8","90843","TCEAL8","transcription elongation factor A like 8","1"
"LAMTOR2","28956","LAMTOR2","""late endosomal/lysosomal adaptor, MAPK and MTOR activator 2""","1"
"BRK1","55845","BRK1","BRICK1 subunit of SCAR/WAVE actin nucleating complex","1"
"LSM3","27258","LSM3","""LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"NCBP2AS2","152217","NCBP2AS2","NCBP2 antisense 2 (head to head)","1"
"NDUFS6","4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6","1"
"TOMM6","100188893","TOMM6","translocase of outer mitochondrial membrane 6","1"
"MRPS24","64951","MRPS24","mitochondrial ribosomal protein S24","1"
"ATP5MF","9551","ATP5MF","ATP synthase membrane subunit f","1"
"BAG1","573","BAG1","BAG cochaperone 1","1"
"FAU","2197","FAU","FAU ubiquitin like and ribosomal protein S30 fusion","1"
"ATP5MPL","9556","ATP5MPL","ATP synthase membrane subunit 6.8PL","1"
"LSM7","51690","LSM7","""LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"C19orf53","28974","C19orf53","chromosome 19 open reading frame 53","1"
"NDUFA5","4698","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5","1"
"GLRX2","51022","GLRX2","glutaredoxin 2","1"
"TMEM126A","84233","TMEM126A","transmembrane protein 126A","1"
"NDUFA6","4700","NDUFA6","NADH:ubiquinone oxidoreductase subunit A6","1"
"SPCS1","28972","SPCS1","signal peptidase complex subunit 1","1"
"TIMM8B","26521","TIMM8B","translocase of inner mitochondrial membrane 8 homolog B","1"
"ATP5F1E","514","ATP5F1E","ATP synthase F1 subunit epsilon","1"
"UQCRQ","27089","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII","1"
"SNAPC5","10302","SNAPC5","small nuclear RNA activating complex polypeptide 5","1"
"RILP","83547","RILP","Rab interacting lysosomal protein","1"
"MRPS12","6183","MRPS12","mitochondrial ribosomal protein S12","1"
"SELENOM","140606","SELENOM","selenoprotein M","1"
"RPL29","6159","RPL29","ribosomal protein L29","1"
"COA8","84334","COA8","cytochrome c oxidase assembly factor 8","1"
"RND2","8153","RND2","Rho family GTPase 2","1"
"CHCHD10","400916","CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10","1"
"RPL36A","6173","RPL36A","ribosomal protein L36a","1"
"MRPL46","26589","MRPL46","mitochondrial ribosomal protein L46","1"
"RPL41","6171","RPL41","ribosomal protein L41","1"
"PDRG1","81572","PDRG1","p53 and DNA damage regulated 1","1"
"NDUFB2","4708","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2","1"
"RPS8","6202","RPS8","ribosomal protein S8","1"
"ATP5MD","84833","ATP5MD","ATP synthase membrane subunit DAPIT","1"
"RPS15A","6210","RPS15A","ribosomal protein S15a","1"
"RPL11","6135","RPL11","ribosomal protein L11","1"
"UQCRH","7388","UQCRH","ubiquinol-cytochrome c reductase hinge protein","1"
"SNRPE","6635","SNRPE","small nuclear ribonucleoprotein polypeptide E","1"
"TMSB10","9168","TMSB10","thymosin beta 10","1"
"TMA7","51372","TMA7","translation machinery associated 7 homolog","1"
"COX17","10063","COX17","cytochrome c oxidase copper chaperone COX17","1"
"RPL22L1","200916","RPL22L1","ribosomal protein L22 like 1","1"
"MRPL47","57129","MRPL47","mitochondrial ribosomal protein L47","1"
"MRPL36","64979","MRPL36","mitochondrial ribosomal protein L36","1"
"COX6C","1345","COX6C","cytochrome c oxidase subunit 6C","1"
"RPS13","6207","RPS13","ribosomal protein S13","1"
"TRIAP1","51499","TRIAP1","TP53 regulated inhibitor of apoptosis 1","1"
"GCHFR","2644","GCHFR","GTP cyclohydrolase I feedback regulator","1"
"EMC6","83460","EMC6","ER membrane protein complex subunit 6","1"
"SNRPD1","6632","SNRPD1","small nuclear ribonucleoprotein D1 polypeptide","1"
"NDUFA7","4701","NDUFA7","NADH:ubiquinone oxidoreductase subunit A7","1"
"RPL18A","6142","RPL18A","ribosomal protein L18a","1"
"TMSB4X","7114","TMSB4X","thymosin beta 4 X-linked","1"
"BEX4","56271","BEX4","brain expressed X-linked 4","1"
"UQCRB","7381","UQCRB","ubiquinol-cytochrome c reductase binding protein","1"
"MYL6B","140465","MYL6B","myosin light chain 6B","1"
"MRPL57","78988","MRPL57","mitochondrial ribosomal protein L57","1"
"SNRNP25","79622","SNRNP25","small nuclear ribonucleoprotein U11/U12 subunit 25","1"
"COA3","28958","COA3","cytochrome c oxidase assembly factor 3","1"
"POMP","51371","POMP","proteasome maturation protein","1"
"ATP5MC1","516","ATP5MC1","ATP synthase membrane subunit c locus 1","1"
"COX4I1","1327","COX4I1","cytochrome c oxidase subunit 4I1","1"
"TCEAL7","56849","TCEAL7","transcription elongation factor A like 7","1"
"PFDN6","10471","PFDN6","prefoldin subunit 6","1"
"ANAPC15","25906","ANAPC15","anaphase promoting complex subunit 15","1"
"PCP4L1","654790","PCP4L1","Purkinje cell protein 4 like 1","1"
"RNF5","6048","RNF5","ring finger protein 5","1"
"MRPL52","122704","MRPL52","mitochondrial ribosomal protein L52","1"
"ELOB","6923","ELOB","elongin B","1"
"UQCC3","790955","UQCC3","ubiquinol-cytochrome c reductase complex assembly factor 3","1"
"HAX1","10456","HAX1","HCLS1 associated protein X-1","1"
"VBP1","7411","VBP1","VHL binding protein 1","1"
"RPS2","6187","RPS2","ribosomal protein S2","1"
"MRPS33","51650","MRPS33","mitochondrial ribosomal protein S33","1"
"RPL12","6136","RPL12","ribosomal protein L12","1"
"MESP1","55897","MESP1","mesoderm posterior bHLH transcription factor 1","1"
"NDUFA13","51079","NDUFA13","NADH:ubiquinone oxidoreductase subunit A13","1"
"SMIM26","388789","SMIM26","small integral membrane protein 26","1"
"BTF3","689","BTF3","basic transcription factor 3","1"
"ELOC","6921","ELOC","elongin C","1"
"RNF181","51255","RNF181","ring finger protein 181","1"
"NUDT1","4521","NUDT1","nudix hydrolase 1","1"
"SEC61G","23480","SEC61G","SEC61 translocon subunit gamma","1"
"TOMM5","401505","TOMM5","translocase of outer mitochondrial membrane 5","1"
"TXN","7295","TXN","thioredoxin","1"
"MRPL51","51258","MRPL51","mitochondrial ribosomal protein L51","1"
"ISCA2","122961","ISCA2","iron-sulfur cluster assembly 2","1"
"IFI27L2","83982","IFI27L2","interferon alpha inducible protein 27 like 2","1"
"RPL17","6139","RPL17","ribosomal protein L17","1"
"UQCR11","10975","UQCR11","""ubiquinol-cytochrome c reductase, complex III subunit XI""","1"
"UBL5","59286","UBL5","ubiquitin like 5","1"
"PFDN4","5203","PFDN4","prefoldin subunit 4","1"
"RANBP1","5902","RANBP1","RAN binding protein 1","1"
"HEIH","100859930","HEIH","hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA","1"
"CYCS","54205","CYCS","""cytochrome c, somatic""","1"
"UBXN10-AS1","101928017","UBXN10-AS1","UBXN10 antisense RNA 1","1"
"RPS14","6208","RPS14","ribosomal protein S14","1"
"NME1","4830","NME1","NME/NM23 nucleoside diphosphate kinase 1","1"
"FAM174C","55009","FAM174C","family with sequence similarity 174 member C","1"
"CORT","1325","CORT","cortistatin","1"
"NDUFS5","4725","NDUFS5","NADH:ubiquinone oxidoreductase subunit S5","1"
"MZT2B","80097","MZT2B","mitotic spindle organizing protein 2B","1"
"SUMO1","7341","SUMO1","small ubiquitin like modifier 1","1"
"EEF1B2","1933","EEF1B2","eukaryotic translation elongation factor 1 beta 2","1"
"COPS9","150678","COPS9","COP9 signalosome subunit 9","1"
"RPL35A","6165","RPL35A","ribosomal protein L35a","1"
"H2AFZ","NA","NA","NA","0"
"SNHG8","100093630","SNHG8","small nucleolar RNA host gene 8","1"
"DNPH1","10591","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1","1"
"RPL35","11224","RPL35","ribosomal protein L35","1"
"C9orf16","79095","C9orf16","chromosome 9 open reading frame 16","1"
"IDI1","3422","IDI1","isopentenyl-diphosphate delta isomerase 1","1"
"GMPR2","51292","GMPR2","guanosine monophosphate reductase 2","1"
"HDDC3","374659","HDDC3","HD domain containing 3","1"
"NDUFB10","4716","NDUFB10","NADH:ubiquinone oxidoreductase subunit B10","1"
"RARA-AS1","101929693","RARA-AS1","RARA antisense RNA 1","1"
"RPS28","6234","RPS28","ribosomal protein S28","1"
"COX6B1","1340","COX6B1","cytochrome c oxidase subunit 6B1","1"
"ATP5PF","522","ATP5PF","ATP synthase peripheral stalk subunit F6","1"
"MRPL21","219927","MRPL21","mitochondrial ribosomal protein L21","1"
"MRPL54","116541","MRPL54","mitochondrial ribosomal protein L54","1"
"LSM4","25804","LSM4","""LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"RPL39","6170","RPL39","ribosomal protein L39","1"
"PPIL1","51645","PPIL1","peptidylprolyl isomerase like 1","1"
"NDUFB3","4709","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3","1"
"RPL9","6133","RPL9","ribosomal protein L9","1"
"SNHG29","125144","SNHG29","small nucleolar RNA host gene 29","1"
"WDR64","128025","WDR64","WD repeat domain 64","1"
"CTXN2","399697","CTXN2","cortexin 2","1"
"SERTAD4-AS1","574036","SERTAD4-AS1","SERTAD4 antisense RNA 1","1"
"COX7C","1350","COX7C","cytochrome c oxidase subunit 7C","1"
"RPS24","6229","RPS24","ribosomal protein S24","1"
"CENPX","201254","CENPX","centromere protein X","1"
"PRADC1","84279","PRADC1","protease associated domain containing 1","1"
"NME2","4831","NME2","NME/NM23 nucleoside diphosphate kinase 2","1"
"NDUFA1","4694","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1","1"
"COX5B","1329","COX5B","cytochrome c oxidase subunit 5B","1"
"RPL21","6144","RPL21","ribosomal protein L21","1"
"HBQ1","3049","HBQ1","hemoglobin subunit theta 1","1"
"PHPT1","29085","PHPT1","phosphohistidine phosphatase 1","1"
"NDUFC1","4717","NDUFC1","NADH:ubiquinone oxidoreductase subunit C1","1"
"FIS1","51024","FIS1","""fission, mitochondrial 1""","1"
"LSM1","27257","LSM1","""LSM1 homolog, mRNA degradation associated""","1"
"C12orf57","113246","C12orf57","chromosome 12 open reading frame 57","1"
"TCEAL5","340543","TCEAL5","transcription elongation factor A like 5","1"
"PSMB10","5699","PSMB10","proteasome 20S subunit beta 10","1"
"TOMM7","54543","TOMM7","translocase of outer mitochondrial membrane 7","1"
"RPS27A","6233","RPS27A","ribosomal protein S27a","1"
"ZNF622","90441","ZNF622","zinc finger protein 622","1"
"NDUFA4","4697","NDUFA4","NDUFA4 mitochondrial complex associated","1"
"ISCU","23479","ISCU","iron-sulfur cluster assembly enzyme","1"
"CIAO2B","51647","CIAO2B","cytosolic iron-sulfur assembly component 2B","1"
"COX7B","1349","COX7B","cytochrome c oxidase subunit 7B","1"
"NHP2","55651","NHP2","NHP2 ribonucleoprotein","1"
"SNHG15","285958","SNHG15","small nucleolar RNA host gene 15","1"
"SERF2","10169","SERF2","small EDRK-rich factor 2","1"
"RPS15","6209","RPS15","ribosomal protein S15","1"
"TGFBR3L","100507588","TGFBR3L","transforming growth factor beta receptor 3 like","1"
"RPL36AL","6166","RPL36AL","ribosomal protein L36a like","1"
"ANAPC11","51529","ANAPC11","anaphase promoting complex subunit 11","1"
"LSM10","84967","LSM10","""LSM10, U7 small nuclear RNA associated""","1"
"OST4","100128731","OST4","""oligosaccharyltransferase complex subunit 4, non-catalytic""","1"
"MORN2","729967","MORN2","MORN repeat containing 2","1"
"PRELID1","27166","PRELID1","PRELI domain containing 1","1"
"PDAP1","11333","PDAP1","PDGFA associated protein 1","1"
"SET","6418","SET","SET nuclear proto-oncogene","1"
"ATP5ME","521","ATP5ME","ATP synthase membrane subunit e","1"
"MRFAP1","93621","MRFAP1","Morf4 family associated protein 1","1"
"MRPS17","51373","MRPS17","mitochondrial ribosomal protein S17","1"
"HINT2","84681","HINT2","histidine triad nucleotide binding protein 2","1"
"RPL10","6134","RPL10","ribosomal protein L10","1"
"ABRACL","58527","ABRACL","ABRA C-terminal like","1"
"TXNDC17","84817","TXNDC17","thioredoxin domain containing 17","1"
"POP4","10775","POP4","""POP4 homolog, ribonuclease P/MRP subunit""","1"
"DUSP28","285193","DUSP28","dual specificity phosphatase 28","1"
"RPS3A","6189","RPS3A","ribosomal protein S3A","1"
"COX8A","1351","COX8A","cytochrome c oxidase subunit 8A","1"
"NPB","256933","NPB","neuropeptide B","1"
"MRPS26","64949","MRPS26","mitochondrial ribosomal protein S26","1"
"RPL18","6141","RPL18","ribosomal protein L18","1"
"NDUFB5","4711","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","1"
"MRPL40","64976","MRPL40","mitochondrial ribosomal protein L40","1"
"ATP5PO","539","ATP5PO","ATP synthase peripheral stalk subunit OSCP","1"
"NOP10","55505","NOP10","NOP10 ribonucleoprotein","1"
"RPL26","6154","RPL26","ribosomal protein L26","1"
"POLE3","54107","POLE3","""DNA polymerase epsilon 3, accessory subunit""","1"
"RPL19","6143","RPL19","ribosomal protein L19","1"
"SMDT1","91689","SMDT1","single-pass membrane protein with aspartate rich tail 1","1"
"TSR2","90121","TSR2","TSR2 ribosome maturation factor","1"
"MRPS23","51649","MRPS23","mitochondrial ribosomal protein S23","1"
"GADD45GIP1","90480","GADD45GIP1","GADD45G interacting protein 1","1"
"LAMTOR4","389541","LAMTOR4","""late endosomal/lysosomal adaptor, MAPK and MTOR activator 4""","1"
"CALHM6","441168","CALHM6","calcium homeostasis modulator family member 6","1"
"PRDX5","25824","PRDX5","peroxiredoxin 5","1"
"RPLP1","6176","RPLP1","ribosomal protein lateral stalk subunit P1","1"
"RPS16","6217","RPS16","ribosomal protein S16","1"
"RPS7","6201","RPS7","ribosomal protein S7","1"
"MRPL14","64928","MRPL14","mitochondrial ribosomal protein L14","1"
"RPL32","6161","RPL32","ribosomal protein L32","1"
"TMEM258","746","TMEM258","transmembrane protein 258","1"
"DCTPP1","79077","DCTPP1","dCTP pyrophosphatase 1","1"
"RNASEK","440400","RNASEK","ribonuclease K","1"
"RPL23","9349","RPL23","ribosomal protein L23","1"
"NDUFB7","4713","NDUFB7","NADH:ubiquinone oxidoreductase subunit B7","1"
"MRPL34","64981","MRPL34","mitochondrial ribosomal protein L34","1"
"CKS1B","1163","CKS1B","CDC28 protein kinase regulatory subunit 1B","1"
"C14orf119","55017","C14orf119","chromosome 14 open reading frame 119","1"
"EIF1","10209","EIF1","eukaryotic translation initiation factor 1","1"
"GPX4","2879","GPX4","glutathione peroxidase 4","1"
"RPL30","6156","RPL30","ribosomal protein L30","1"
"RPS21","6227","RPS21","ribosomal protein S21","1"
"DCTN3","11258","DCTN3","dynactin subunit 3","1"
"TIMM10","26519","TIMM10","translocase of inner mitochondrial membrane 10","1"
"COPS7A","50813","COPS7A","COP9 signalosome subunit 7A","1"
"MZT2A","653784","MZT2A","mitotic spindle organizing protein 2A","1"
"RPP25L","138716","RPP25L","ribonuclease P/MRP subunit p25 like","1"
"RPS10","6204","RPS10","ribosomal protein S10","1"
"S100A6","6277","S100A6","S100 calcium binding protein A6","1"
"SSR2","6746","SSR2","signal sequence receptor subunit 2","1"
"EMC4","51234","EMC4","ER membrane protein complex subunit 4","1"
"PMVK","10654","PMVK","phosphomevalonate kinase","1"
"SMIM1","388588","SMIM1","small integral membrane protein 1 (Vel blood group)","1"
"MICOS10","440574","MICOS10","mitochondrial contact site and cristae organizing system subunit 10","1"
"RPL34","6164","RPL34","ribosomal protein L34","1"
"RPL7","6129","RPL7","ribosomal protein L7","1"
"TMEM203","94107","TMEM203","transmembrane protein 203","1"
"TIMM10B","26515","TIMM10B","translocase of inner mitochondrial membrane 10B","1"
"DDIT3","1649","DDIT3","DNA damage inducible transcript 3","1"
"GLRX5","51218","GLRX5","glutaredoxin 5","1"
"RPP25","54913","RPP25","ribonuclease P and MRP subunit p25","1"
"RPL13","6137","RPL13","ribosomal protein L13","1"
"RPS9","6203","RPS9","ribosomal protein S9","1"
"RPS5","6193","RPS5","ribosomal protein S5","1"
"DSTN","11034","DSTN","""destrin, actin depolymerizing factor""","1"
"BEX5","340542","BEX5","brain expressed X-linked 5","1"
"RHOV","171177","RHOV","ras homolog family member V","1"
"LGALS1","3956","LGALS1","galectin 1","1"
"JPT1","51155","JPT1","Jupiter microtubule associated homolog 1","1"
"RPL15","6138","RPL15","ribosomal protein L15","1"
"KLHDC9","126823","KLHDC9","kelch domain containing 9","1"
"UFC1","51506","UFC1","ubiquitin-fold modifier conjugating enzyme 1","1"
"RPL24","6152","RPL24","ribosomal protein L24","1"
"C12orf10","60314","C12orf10","chromosome 12 open reading frame 10","1"
"THEM5","284486","THEM5","thioesterase superfamily member 5","1"
"RPS27","6232","RPS27","ribosomal protein S27","1"
"RPL7A","6130","RPL7A","ribosomal protein L7a","1"
"TMEM256","254863","TMEM256","transmembrane protein 256","1"
"PCP4","5121","PCP4","Purkinje cell protein 4","1"
"RPL22","6146","RPL22","ribosomal protein L22","1"
"HNRNPA1","3178","HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","1"
"KRT222","125113","KRT222","keratin 222","1"
"RPS12","6206","RPS12","ribosomal protein S12","1"
"SRSF9","8683","SRSF9","serine and arginine rich splicing factor 9","1"
"SNCG","6623","SNCG","synuclein gamma","1"
"FAM50B","26240","FAM50B","family with sequence similarity 50 member B","1"
"NRN1","51299","NRN1","neuritin 1","1"
"GABARAPL2","11345","GABARAPL2","GABA type A receptor associated protein like 2","1"
"BEX2","84707","BEX2","brain expressed X-linked 2","1"
